--------- beginning of /dev/log/main
--------- beginning of /dev/log/system
07-07 03:02:13.559   406  1753 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{417d86b8 SearchPanel paused=false]
07-07 03:02:13.590   406  1753 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[ontent=[0,50][720,1184] visible=[0,50][720,740].    Cur insets: content=[0,50][0,0] visible=[0,50][0]
07-07 03:02:13.668   406   660 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{417d86b8 SearchPanel paused=false]
07-07 03:02:13.699   406   660 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[ontent=[0,50][720,1184] visible=[0,50][720,740].    Cur insets: content=[0,50][0,0] visible=[0,50][0]
07-07 03:02:13.793   406   418 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{417d86b8 SearchPanel paused=false]
07-07 03:02:13.902   406   418 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[ontent=[0,50][720,1184] visible=[0,50][720,740].    Cur insets: content=[0,50][0,0] visible=[0,50][0]
07-07 03:02:13.988   406  1803 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{417d86b8 SearchPanel paused=false]
07-07 03:02:14.020   406  1803 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[ontent=[0,50][720,1184] visible=[0,50][720,740].    Cur insets: content=[0,50][0,0] visible=[0,50][0]
07-07 03:02:14.090   406   681 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{417d86b8 SearchPanel paused=false]
07-07 03:02:14.129   406   681 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[ontent=[0,50][720,1184] visible=[0,50][720,740].    Cur insets: content=[0,50][0,0] visible=[0,50][0]
07-07 03:02:14.191   406   669 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{417d86b8 SearchPanel paused=false]
07-07 03:02:14.223   406   669 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[ontent=[0,50][720,1184] visible=[0,50][720,740].    Cur insets: content=[0,50][0,0] visible=[0,50][0]
